Provinsi/Kabupaten/Kota,,,
,Indeks Pembangunan Gender (IPG),,
Kota Serang,92.63,92.49,92.61
Kota Tangerang Selatan,93.96,94.23,94.47
BALI,94.36,94.59,95.1
Jembrana,94.43,94.52,94.9
Tabanan,95.45,95.72,95.95
Badung,95.65,95.94,96.16
Gianyar,94.72,95.09,95.14
Klungkung,91.37,91.79,92.18
Bangli,91.86,92.23,92.58
Karangasem,89.9,90.17,90.67
Buleleng,91.85,91.99,92.24
Kota Denpasar,96.92,96.68,96.77
NUSA TENGGARA BARAT,91.08,91.39,91.54
Lombok Barat,90.41,90.65,90.66
Lombok Tengah,88.33,88.72,88.78
Lombok Timur,92.53,92.25,92.39
Sumbawa,94.59,94.79,94.96
Dompu,91.17,91.33,91.52
Bima,92.44,92.2,92.33
Sumbawa Barat,93.82,93.48,93.61
Lombok Utara,86.33,85.88,86.04
Kota Mataram,93.04,93.3,93.32
Kota Bima,96.95,96.9,96.88
NUSA TENGGARA TIMUR,92.96,93.38,93.77
Sumba Barat,94.58,94.82,95.06
Sumba Timur,96.36,96.07,96.24
Kupang,88.27,88.59,89.03
Timor Tengah Selatan,95.17,95.56,95.96
Timor Tengah Utara,95.51,95.8,96.08
Belu,97.57,97.44,97.25
Alor,92.36,92.52,92.75
Lembata,91.45,91.61,91.7
Flores Timur,92.08,91.97,92.15
Sikka,88.81,89.38,89.7
Ende,96.2,96.17,96.33
Ngada,95.9,96.33,96.35
Manggarai,88.4,88.92,89.08
Rote Ndao,84.86,85.28,85.6
Manggarai Barat,87.82,88.43,89.04
Sumba Tengah,90.51,90.74,91.24
Sumba Barat Daya,98.28,98.26,98.36
Nagekeo,98.6,97.94,98.35
Manggarai Timur,91.32,91.41,91.97
Sabu Raijua,92.57,92.25,92.42
Malaka,90.08,90.43,90.79
Kota Kupang,96.47,96.39,96.47
KALIMANTAN BARAT,87.61,88.06,88.2
Sambas,87.96,88.37,88.39
Bengkayang,82.86,83.68,84.06
Landak,88.83,89.45,89.71
Mempawah,88.53,88.9,89.03
Sanggau,82.14,82.66,83.03
Ketapang,89.12,89.46,89.61
Sintang,87.38,87.74,88.05
Kapuas Hulu,85.99,86.52,86.83
Sekadau,83.4,84.07,84.13
Melawi,80.82,81.22,81.9
Kayong Utara,87.07,86.8,86.99
Kubu Raya,85.26,85.45,85.68
Kota Pontianak,94.1,94.65,94.8
